SCO3114,SCO3114,protein transport,,integral component of membrane
SPy0779,SPy_0779,,,
serine transporter BC3398,Serine transporter BC3398,amino acid transmembrane transport,,integral component of membrane
PP_0957,kdsD,carbohydrate metabolic process,metal ion binding,
smi_1464,smi_1464,,,integral component of membrane
wu:fc06b02,mismatch repair protein Msh2,,,
short chain dehydrogenase,BMAA1331,oxidation-reduction process,oxidoreductase activity,
ABC transporter ATP-binding protein MXF1_RS0105245,MXF1_RS0105245,,,
BB253_3099,Hydantoin utilization protein A BN112_3099,,hydrolase activity,
transcription-repair coupling factor,SE2280,"regulation of transcription, DNA-templated",hydrolase activity,cytoplasm
hypothetical protein NMB1410,Hypothetical protein NMB1410,,,
Tc00.1047053506125.20,Tc00.1047053506125.20,,,cell membrane
Y116A8B.1,Hypothetical protein CELE_Y116A8B.1,,,
preprotein translocase subunit SecD CLC_2965,Preprotein translocase subunit SecD CBO3063,intracellular protein transport,transporter activity,integral component of membrane
hflB,hflB,,,
putative transposase,YPCD1.96c,,,
lpfA,lpfA,,,
"prophage P2b protein 14, terminase small subunit","Prophage P2b protein 14, terminase small subunit lp_2467",,,
BPSS1906,"1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase BPSS1906",oxidation-reduction process,oxidoreductase activity,
PNEJI1_3068,PNEJI1_002840-t26_1,,,
hypothetical protein BA_5494,Hypothetical protein BA_5494,,,
PSPTO_5259,Sco1/SenC family protein PSPTO_5259,cell redox homeostasis,molecular function,
F1 capsule antigen,F1 capsule antigen YPMT1.84,,,
hypothetical protein,Hypothetical protein TTHB133,,,
Ccdc33,Coiled-coil domain containing 33,,,
MXAN_4190,MXAN_RS20345,mismatch repair,ATP binding,
methylmalonate-semialdehyde dehydrogenase (CoA acylating) MXF1_RS0111980,Methylmalonate-semialdehyde dehydrogenase (CoA acylating) MXF1_RS0111980,,,
lipoprotein VP2354,Lipoprotein VP2354,,,
riboflavin synthase subunit alpha Caur_2200,Caur_2200,riboflavin biosynthetic process,riboflavin synthase activity,
ubiA,CBU_0055,ubiquinone biosynthetic process,4-hydroxybenzoate octaprenyltransferase activity,Cell membrane
Moth_1430,Beta-lactamase-like Moth_1430,,,
MOR129-2,GA_x6K02T2QP88-4469162-4468215,signal transduction,olfactory receptor activity,membrane
hypothetical protein,Hypothetical protein MSMEG_6255,,,
PHP domain-containing protein,PHP domain-containing protein Dtur_0580,nucleic acid phosphodiester bond hydrolysis,hydrolase activity,
hypothetical protein,SSUBM407_0469,,,integral component of membrane
TDE2297,TPR TDE2297,,"hydrolase activity, hydrolyzing O-glycosyl compounds",periplasmic space
STY0523,STY0523,,,
MXF1_RS0106275,MXF1_RS0106275,,,
hypothetical protein,Moth_2415,protein phosphorylation,protein kinase activity,membrane
peptidoglycan binding protein lmo0435,Peptidoglycan binding protein lmo0435,,,extracellular region
uncharacterized protein,Uncharacterized protein Dmel_CG7768,protein folding,peptidyl-prolyl cis-trans isomerase activity,
SDY_2035,ycfT,,"transferase activity, transferring acyl groups other than amino-acyl groups",membrane
hypothetical protein,BB_Q33,,,
galU,galU,biological growth,UTP:glucose-1-phosphate uridylyltransferase activity,cell membrane
KPHS_33680,KPHS_33680,,,
yjkA,BSU12240,ion transmembrane transport,ion transmembrane transporter activity,integral component of membrane
SDY_0301,SDY_2360,"transposition, DNA-mediated",DNA binding,
BT9727_2760,Glycosyl transferase family protein BT9727_2760,,transferase activity,
EgrG_000313400,heterogeneous nuclear ribonucleoprotein A0,germ cell development,mRNA binding,
