neuromedin-B receptor,neuromedin B receptor,G-protein coupled receptor signaling pathway,G-protein coupled peptide receptor activity,integral component of plasma membrane
PB000621.01.0,PBANKA_094340,,,crystalloid
KPHS_32550,hypothetical protein KPHS_32550,,,
SO_A0096,parB,,,
Aspartokinase TM0547,aspartokinase,cellular amino acid metabolic process,aspartate kinase activity,cytosol
Glycogen synthase kinase-3 CELE_Y18D10A.5,gsk-3,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,ATP binding,cellular component
hypothetical protein,Uncharacterized protein,dsRNA transport,RNA transmembrane transporter activity,integral component of membrane
anp32e,wu:fc19a08,nucleocytoplasmic transport,phosphatase inhibitor activity,Swr1 complex
Phosphopentomutase Mesci_6035,phosphopentomutase,cellular metabolic compound salvage,metal ion binding,cytoplasm
MXF1_RS0119695,site-specific DNA-methyltransferase,,,
ECL_01420,ECL_01420,,,
TrpR binding protein KPHS_19040,KPHS_19040,oxidation-reduction process,oxidoreductase activity,
VC0397,single-stranded DNA-binding protein VC0397,DNA repair,single-stranded DNA binding,nucleoid
Hypothetical protein CTL0443,CTL0443,,,
BPSS0743,BPSS0743,oxidation-reduction process,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",
"protein phosphatase 1, catalytic subunit, beta isozyme",PP-1B,cell division,myosin-light-chain-phosphatase activity,PTW/PP1 phosphatase complex
BN117_2691,hypothetical protein,purine nucleoside triphosphate catabolic process,metal ion binding,
signal-transducing adaptor protein-2,stap2,,,
putative Na+/H+ antiporter,ywrK,arsenite transport,arsenite transmembrane transporter activity,integral component of membrane
protein LLP homolog,"LLP homolog, long-term synaptic facilitation (Aplysia)",dendrite extension,protein binding,cell nucleus
aq_1838,dapF,cellular amino acid biosynthetic process,isomerase activity,cytosol
Proton-translocating NADH-quinone oxidoreductase subunit M Smed_3625,proton-translocating NADH-quinone oxidoreductase subunit M,oxidation-reduction process,oxidoreductase activity,membrane
Protease NMB2127,NMB2127,proteolysis,peptidase activity,membrane
lpxD,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase NGR_c13420,lipid metabolism,"transferase activity, transferring acyl groups other than amino-acyl groups",
Hypothetical protein VPA1098,hypothetical protein VPA1098,,,
BDGL_000125,hypothetical protein BDGL_000125,,,
KVU_0892,NADPH:ferredoxin reductase KVU_0892,oxidation-reduction process,oxidoreductase activity,
XCC0545,Xaa-Pro dipeptidase,organic phosphonate catabolic process,hydrolase activity,
Two-component system histidine kinase AMED_3582,two-component system histidine kinase,signal transduction,"transferase activity, transferring phosphorus-containing groups",membrane
GTPase IMAP family member 1,"GTPase, IMAP family member 1",T cell differentiation,nucleotide binding,Golgi apparatus
Taci_0904,exodeoxyribonuclease VII small subunit Taci_0904,nucleic acid phosphodiester bond hydrolysis,exonuclease activity,cytoplasm
insertion element iso-IS1N protein InsA    SDY_0562a,SDY_4764,"transposition, DNA-mediated",,
"hypothetical protein, conserved",TcCLB.508727.60,,,cell nucleus
CC_1365,hypothetical protein,,,outer membrane
yicC,VF_0110,,,
protein TSSC1,tssc1,,,
abhydrolase domain containing 2,"abhydrolase domain containing 2, acylglycerol lipase a",sperm capacitation,steroid hormone receptor activity,membrane
hypothetical protein,EgG_000500700,,,
protein cordon-bleu,cordon-bleu WH2 repeat,actin filament polymerization,actin binding,actin filament
"heat shock protein DNAJ, putative",LmjF27.2400,,,cytoplasm
FAD-dependent pyridine nucleotide-disulfide oxidoreductase Psyr_1675,Psyr_1675,oxidation-reduction process,FMN binding,
Hypothetical protein RB4301,hypothetical protein RB4301,,,
dnaJ homolog subfamily C member 16,2900037O03Rik,biological process,,membrane
Glycosyltransferase BT_0043,BT_0043,,transferase activity,
Accessory Sec system translocase SecA2 SE2244,SE2244,protein import,nucleotide binding,Cell membrane
neighbor of BRCA1 gene 1,NBR1 autophagy cargo receptor b,macroautophagy,ubiquitin binding,Autophagosome
yfbV,ECIAI39_2442,,,cell membrane
GGDEF family protein VPA0198,GGDEF family protein,,,integral component of membrane
BF1529,BF1529,,,
histone-lysine N-methyltransferase 2E,lysine methyltransferase 2E,cell cycle,methylated histone binding,cell nucleus
Atu1661,soluble pyridine nucleotide transhydrogenase,electron transport chain,electron transfer activity,
nifS,nifS,,catalytic activity,
Peptide transport permease SCO5714,peptide transport permease,transmembrane transport,nickel cation binding,cell membrane
32 kDa beta-galactoside-binding lectin lec-3;Galectin;gaLECtin CELE_ZK892.1,32 kDa beta-galactoside-binding lectin lec-3;Galectin;gaLECtin,,Carbohydrate binding,cell membrane
Pullulanase smi_1848,smi_1848,carbohydrate metabolic process,"hydrolase activity, hydrolyzing O-glycosyl compounds",cell wall
MXAN_RS00055,MXAN_RS00055,,,integral component of membrane
Lipolytic protein Moth_1716,lipolytic protein Moth_1716,,,
Ferroxidase FET3 YMR058W,YMR058W,iron ion transmembrane transport,copper ion binding,fungal-type vacuole
PH domain leucine-rich repeat protein phosphatase 1,Phlpp,regulation of JNK cascade,protein serine/threonine phosphatase activity,cell membrane
ATP-dependent RNA helicase HrpB VP2498,VP2498,,ATP binding,
Gluconate dehydrogenase NGR_b01130,gluconate dehydrogenase NGR_b01130,oxidation-reduction process,flavin adenine dinucleotide binding,
Rv1227c,transmembrane protein,,,membrane
chaperone protein DnaJ,EgrG_001164100,protein folding,heat shock protein binding,integral component of membrane
zinc finger protein 6,RGD1359435,biological process,molecular function,intracellular
Methyl-accepting chemotaxis protein VC0514,methyl-accepting chemotaxis protein,signal transduction,signaling receptor activity,integral component of membrane
LbrM29_V2.1530,LbrM29_V2.1530,response to drug,,
hemD,hemD,tetrapyrrole biosynthetic process,uroporphyrinogen-III synthase activity,
carbonate dehydratase II,Lvtw-5,positive regulation of dipeptide transmembrane transport,carbonate dehydratase activity,cytoplasm
hypothetical protein,EgrG_000452900,,,
VF_A0621,VF_A0621,,,
out at first protein homolog,AL024221,biological process,molecular function,extracellular exosome
BBPR_1646,ATP synthase subunit epsilon BBPR_1646,ATP synthesis coupled proton transport,"proton-transporting ATP synthase activity, rotational mechanism","proton-transporting ATP synthase complex, catalytic core F(1)"
Phosphoglyceromutase MXAN_RS26810,phosphoglyceromutase,Glycolysis,catalytic activity,
ECL_04686,large subunit ribosomal protein L24,protein biosynthesis,rRNA binding,ribosome
gll2797,gll2797,,"transferase activity, transferring glycosyl groups",
CT0061,hypothetical protein,,,integral component of membrane
Phosphopantetheine attachment site domain protein MAB_3576c,Phosphopantetheine attachment site domain protein,,transferase activity,
nudix hydrolase    MSMEG_1268,nudix hydrolase,,hydrolase activity,
Cytochrome b561 SO_3421,SO_3421,biological process,heme binding,integral component of membrane
MgtC/SapB family magnesium transport ATPase CD630_32700,MgtC/SapB family magnesium transport ATPase CD630_32700,,,integral component of membrane
RB7578,csrA,bacterial-type flagellum organization,RNA binding,cytosol
Rv3399,S-adenosylmethionine-dependent methyltransferase,methylation,methyltransferase activity,cytosol
"Acetyl/propionyl-CoA carboxylase, alpha subunit Bfae_21160","acetyl/propionyl-CoA carboxylase, alpha subunit",,ligase activity,
"chaperone protein DnaJ, putative",LmjF04.0940,,,mitochondrion
"""2","-triphosphate deaminase KVU_0871""","-deoxyribonucleotide metabolic process"", ""2",dCTP deaminase activity,
hypothetical protein,Uncharacterized protein,,,
Hypothetical protein SMc01671,hypothetical protein,,,
"RNA-binding protein 42 (RNA-binding motif protein 42), putative",TcCLB.485683.10,posttranscriptional regulation of gene expression,mRNA binding,cytoplasm
asah2,N-acylsphingosine amidohydrolase 2,,,
NC2alpha,Negative Cofactor 2alpha,RNA polymerase II transcriptional preinitiation complex assembly,protein heterodimerization activity,cell nucleus
VP2135,phage-like protein,,,
BPSS0813,sensor histidine kinase,peptidyl-histidine phosphorylation,ATP binding,intracellular
CC_1305,CC_1305,phosphorylation,transferase activity,integral component of membrane
Ferric siderophore receptor PP_3155,ferric siderophore receptor PP_3155,Signal transduction,signaling receptor activity,cell outer membrane
Hypothetical protein O3K_04695,hypothetical protein,,pyridoxal phosphate binding,
Folylpolyglutamate synthase,folylpolyglutamate synthase,brain development,metal ion binding,membrane
"C-22 sterol desaturase, putative",ANIA_04042,,,
Hypothetical protein LA_1212,hypothetical protein LA_1212,response to stress,,
Smp_143030,Smp_245420,ubiquitin-dependent protein catabolic process,ubiquitin protein ligase binding,cullin-RING ubiquitin ligase complex
50S ribosomal protein L28 BN112_1174,BN112_1174,protein biosynthesis,structural constituent of ribosome,intracellular
CCNA_01049,hypothetical protein CCNA_01049,,,
Lon protease CPn0027,lon,,,
Taci_0772,phosphoribosyltransferase Taci_0772,"regulation of transcription, DNA-templated","transferase activity, transferring glycosyl groups",
ECIAI39_1553,ECIAI39_1553,,,membrane
DNA topoisomerase I Dtur_1526,Dtur_1526,DNA topological change,DNA binding,chromosome
Sodium:dicarboxylate symporter family protein BMAA1463,sodium:dicarboxylate symporter family protein BMAA1463,L-glutamate transport,symporter activity,integral component of membrane
Tetratricopeptide repeat protein MXAN_RS32675,MXAN_RS32675,,,
BPSL1646,BPSL1646,oxidation-reduction process,monooxygenase activity,
FN0343,hypothetical protein,,,
bll7107,bll7107 bll7107,phosphorelay signal transduction system,phosphorelay sensor kinase activity,integral component of membrane
STY2060,STY2060,,,
Ribosomal protein L34a Dmel_CG6090,Dmel\\CG6090,cytoplasmic translation,myosin binding,ribosome
BL1613,LacI-type transcriptional regulator,"regulation of transcription, DNA-templated",DNA binding,
gll2680,gll2680,oxidation-reduction process,oxidoreductase activity,
"hypothetical protein, conserved",Tb927.11.13110,,,cytoplasm
sodium channel protein type XI subunit alpha,SNS2,ion transmembrane transport,sodium channel activity,axon
hypothetical protein,EgG_002019400,,,
PTS fructose transporter subunit IIC lmo0632,lmo0632,hydrogen ion transmembrane transport,carbohydrate:proton symporter activity,cell membrane
Hypothetical protein CCNA_02937,hypothetical protein CCNA_02937,,,integral component of membrane
LinJ32_V3.3490,LinJ.32.3490,,,mitochondrion
Sugar ABC transporter ATP-binding protein NGR_c34500,sugar ABC transporter ATP-binding protein,,ATP binding,
CIMG_03730-t26_2,CIMG_03730.1,,,
"hypothetical protein, hypothetical protein, variant",CIMG_03730.1,,,
CIMG_03730-t26_2,CIMG_03730.1,,,
CIMG_03730-t26_1,CIMG_03730,,,
hypothetical protein,EgG_002017800,,,
EAE_09290,EAE_09290,nicotinamide nucleotide metabolic process,metal ion binding,
secG,protein export membrane protein SecG,protein transport,P-P-bond-hydrolysis-driven protein transmembrane transporter activity,membrane
BT9727_1765,GTPase BT9727_1765,,,
Hypothetical protein FN0994,FN0994,,,membrane
galK,galactokinase SSUBM407_0319,metabolism,galactokinase activity,cytoplasm
Acyl-CoA dehydrogenase family protein PP_2793,acyl-CoA dehydrogenase family protein,oxidation-reduction process,"oxidoreductase activity, acting on the CH-CH group of donors",
PSLT107,PSLT107,,DNA binding,
zinc finger protein 777,zinc finger protein 777,biological process,metal ion binding,cell nucleus
EscC/YscC/HrcC family type III secretion system outer membrane ring protein STM2898,STM2898,pathogenesis,identical protein binding,cell outer membrane
Hypothetical protein HMPREF0351_12699,hypothetical protein HMPREF0351_12699,,,
GILT-like protein C02D5.2,GILT-like protein C02D5.2,,,integral component of membrane
Smed_0803,Smed_0375,"transposition, DNA-mediated",DNA binding,
ML0450,pyridoxal biosynthesis lyase PdxS,metabolism,lyase activity,
Psyr_5088,LuxR response regulator receiver,phosphorelay signal transduction system,DNA binding,intracellular
S-formylglutathione hydrolase/S-lactoylglutathione hydrolase,S-formylglutathione hydrolase/S-lactoylglutathione hydrolase,,,
FN1965,hypothetical protein FN1965,,,
CALMx3,calmodulin 1b,regulation of catalytic activity,metal ion binding,cell nucleus
Hyaluronidase - phage associated SPy_0997,SPy_0997,,,
nocA related zinc finger 1,noz1,,,
YKR093W,YKR093W,tripeptide transport,transmembrane transporter activity,cell membrane
Hypothetical protein NRG857_04685,hypothetical protein,,,membrane
CLL-associated antigen KW-14,YTH N6-methyladenosine RNA binding protein 2,Cellular differentiation,protein binding,cell nucleus
VPA1412,polysaccharide biosynthesis-like protein,,,membrane
LmjF23.0540,LmjF.23.0540,,,nuclear lumen
VC0183,VC0183,DNA recombination,DNA binding,cellular component
Hypothetical protein O3K_11630,O3K_11630,,,
Cytidine/deoxycytidylate deaminase CBO0030,cytidine/deoxycytidylate deaminase CLC_0048,tRNA processing,metal ion binding,
"1-acyl-sn-glycerol-3-phosphate acyltransferase, putative (fragment)",Tc00.1047053510723.29,metabolism,1-acylglycerol-3-phosphate O-acyltransferase activity,integral component of membrane
Cj0415,GMC oxidoreductase subunit,oxidation-reduction process,flavin adenine dinucleotide binding,
Tc00.1047053503689.34,TcCLB.503689.34,posttranscriptional regulation of gene expression,,
LmxM36.1420,LmxM.36.1420,posttranscriptional regulation of gene expression,,
Sorbitol-6-phosphate 2-dehydrogenase KPHS_02410,KPHS_02410,oxidation-reduction process,oxidoreductase activity,
RNA polymerase sigma factor SCO7099,SC3A4.25c,"DNA-templated transcription, initiation",DNA-binding transcription factor activity,
engB,ribosome biogenesis GTP-binding protein YsxC blr8099,cell septum assembly,GTP binding,cytosol
Hypothetical protein Smed_0042,hypothetical protein Smed_0042,rRNA processing,endonuclease activity,cytoplasm
Mesci_3011,binding-protein-dependent transport system inner membrane protein,transmembrane transport,,cell membrane
SO_4588,membrane protein of unknown function DUF1145 SO_4588,biological process,molecular function,cellular component
BN117_3233,hypothetical protein BN117_3233,,catalytic activity,
actin-related protein 2/3 complex subunit 4,Arpc4,biological process,actin binding,cytoplasm
LBA1714,hypothetical protein,,,
FGFR1 oncogene partner,Cep43,cell projection organization,protein homodimerization activity,cell projection
BDGL_002896,rarA,DNA replication,DNA binding,
BN112_4317,3-isopropylmalate dehydratase small subunit BN112_4317,Metabolism,lyase activity,
mphosph10,mphosph10,ribosome biogenesis,,cell nucleus
MXF1_RS0118860,MXF1_RS0118860,,,
sft2d3,wu:fj41a01,protein transport,,integral component of membrane
MXAN_4021,hypothetical protein MXAN_RS19550,,,
"GPI ethanolamine phosphate transferase 3, putative (fragment)",Tc00.1047053507667.11,,,nuclear lumen
Hypothetical protein lp_1877,hypothetical protein lp_1877,,,
"-adenosine monophosphate phosphodiesterase YE3662""",", ""cyclic 3",,", ""3",
TCF-3B,forkhead box A2,primitive streak formation,transcription factor binding,cytoplasm
LSEI_0316,transcriptional regulator LSEI_0316,"regulation of transcription, DNA-templated",DNA binding,
Two-component system sensor protein SRU_2725,two-component system sensor protein SRU_2725,signal transduction by protein phosphorylation,phosphorelay sensor kinase activity,integral component of membrane
unc80-PF,CG18437,cation homeostasis,cation channel activity,cation channel complex
THEYE_A1522,asparate kinase,cellular amino acid biosynthetic process,aspartate kinase activity,cytosol
adenine phosphoribosyltransferase APT2,adenine phosphoribosyltransferase APT2,purine ribonucleoside salvage,adenine phosphoribosyltransferase activity,cytoplasm
CA_C0911,processive endoglucanase CA_C0911,cellulose catabolic process,catalytic activity,
RB8890,RB8890,,,
ddpX,"D-ala-D-ala dipeptidase, Zn-dependent",cell wall organization,peptidase activity,cell wall
CBO0878,CLC_0931,oxidation-reduction process,oxidoreductase activity,
MXF1_RS0114675,MXF1_RS0114675,,,
Uroporphyrin-III C-methyltransferase BT9727_0032,uroporphyrin-III C-methyltransferase,metabolism,"-O-)-methyltransferase activity"",",cytoplasm
Hypothetical protein ECUMN_4680,hypothetical protein ECUMN_4680,,,
BDGL_001830,PAS/PAC sensor-containing diguanylate cyclase/phosphodiesterase,phosphorelay signal transduction system,phosphorelay sensor kinase activity,integral component of membrane
b3891,JW3862,,,
Stearoyl CoA 9-desaturase lpg0249,stearoyl CoA 9-desaturase,oxidation-reduction process,stearoyl-CoA 9-desaturase activity,membrane
homeobox protein SIX6,SIX homeobox 6a,,,
Hypothetical protein MSMEG_3454,MSMEG_3454,,,
Ketol-acid reductoisomerase BAS1310,BAS1310,,,
LmjF32.3710,LmjF32.3710,,,nucleolus
Perosamine synthetase CCNA_01064,perosamine synthetase,,catalytic activity,
BN112_0827,BN112_0827,glycerol ether metabolic process,protein disulfide oxidoreductase activity,
c-Kit protooncogene,KIT proto-oncogene receptor tyrosine kinase,positive regulation of cell migration,transmembrane receptor protein tyrosine kinase activity,Cell membrane
50S ribosomal protein L34 NCgl2993,NCgl2993,protein biosynthesis,structural constituent of ribosome,ribosome
C-terminal tensin-like,RGD1310402,apoptotic process,actin binding,cytoplasm
Hypothetical protein LA_2816,LA_2816,,,
YE1806,hypothetical protein YE1806,,,
Molybdenum ABC transporter permease BC0220,molybdenum ABC transporter permease,molybdate ion transport,molybdate ion transmembrane transporter activity,integral component of membrane
PIN/TRAM domain protein CBO3505,CLC_3454,,,
VP2070,hypothetical protein VP2070,,,
ML2616,hypothetical protein ML2616,,DNA binding,
fixO2,cbb3-type cytochrome c oxidase subunit II SMa0766,Electron transport chain,heme binding,integral component of membrane
SAG1241,IS3 family transposase OrfA SAG1241,"transposition, DNA-mediated",DNA binding,
Hypothetical protein CCNA_01595,CCNA_01595,,,membrane
Flagellar FlaF family protein KVU_1926,KVU_1926,bacterial-type flagellum organization,,
TM0859,hypothetical protein TM0859,,,integral component of membrane
TM0859,hypothetical protein,,,
Hypothetical protein TM0859,TM0859,,,
TM0859,hypothetical protein,protein transport,,cell membrane
Glutamyl-tRNA reductase Cj0542,hemA,protoporphyrinogen IX biosynthetic process,NADP binding,
Surfeit locus protein 4 homolog,Surfeit locus protein 4 homolog,positive regulation of cellular protein catabolic process,,endoplasmic reticulum-Golgi intermediate compartment
blr2823,blr2823 blr2823,,,
zinc finger transcription factor Trps1,LGCR,"transcription, DNA-templated",metal ion binding,macromolecular complex
Glutamine synthetase BPSL2336,glutamine synthetase,glutamine biosynthetic process,glutamate-ammonia ligase activity,
Hypothetical protein KPHS_52610,KPHS_52610,potassium ion transport,cation transmembrane transporter activity,Cell membrane
Tc00.1047053508145.30,Tc00.1047053506565.8,RNA processing,RNA binding,cytoplasm
Hypothetical protein EAE_12410,EAE_12410,,"transferase activity, transferring glycosyl groups",
zinc finger protein 704,Gig1,regulation of transcription from RNA polymerase II promoter,metal ion binding,cell nucleus
BT9727_3506,hypothetical protein BT9727_3506,,,
L-alpha-hydroxyglutaric acid gamma-lactonase PP_2021,L-alpha-hydroxyglutaric acid gamma-lactonase,,,
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein,Nip,protein O-linked mannosylation,protein homodimerization activity,cytosol
Hypothetical protein DR_A0110,hypothetical protein DR_A0110,,,
ECUMN_3733,ECUMN_3733,protein methylation,methyltransferase activity,cytoplasm
PAS-family sensor histidine kinase CCNA_03675,PAS-family sensor histidine kinase,peptidyl-histidine phosphorylation,transferase activity,intracellular
"Tyrosine-related transport protein, NHAC family lp_0192",lp_0192,transmembrane transport,antiporter activity,integral component of membrane
comM,magnesium chelatase family protein AMED_1968,,,
Hypothetical protein BT_2972,BT_2972,methylation,methyltransferase activity,cytoplasm
unspecified product,PNEJI1_1207,,,
Putative cytoplasmic protein STM2682,putative cytoplasmic protein STM2682,,,
Ferredoxin family protein STM0078,STM0078,oxidation-reduction process,"4 iron, 4 sulfur cluster binding",
unspecified product,PNEJI1_1039,,,
PK10_2530w,PKH_060900,,macromolecular complex binding,cytoplasm
SMc00070,signal peptide protein SMc00070,,,
his-17,his-27,nucleosome assembly,nucleosomal DNA binding,nucleosome
PC301454.00.0,PCHAS_071990,,ATP binding,
arsR,arsR,"regulation of transcription, DNA-templated",DNA binding,intracellular
heat shock protein kDa,EgrG_000331600,,nucleotide binding,
Nefl,CMT2E,neurofilament cytoskeleton organization,"protein binding, bridging",presynaptic intermediate filament cytoskeleton
Two component response regulator Atu4712,two component response regulator Atu4712,"transcription, DNA-templated",DNA binding,intracellular
Zcchc6,terminal uridylyl transferase 7,miRNA metabolic process,miRNA binding,cellular component
Zfp410,Zfp410,biological process,nucleic acid binding,cell nucleus
PP_3735,ABC transporter ATP-binding protein PP_3735,,nucleotide binding,
CC_1567,hypothetical protein,,,
"solute carrier family 7 (cationic amino acid transporter, y+ system), member 14b",solute carrier family 7 member 14b,transmembrane transport,transmembrane transporter activity,integral component of membrane
hscC,hscC,,nucleotide binding,
Caur_2446,Caur_2446,,nucleic acid binding,
odorant receptor 111-4,olfr2.7,signal transduction,transmembrane signaling receptor activity,Cell membrane
Hypothetical protein BA_1235,BA_1235,,,
basigin,EgrG_001054400,,,integral component of membrane
EgrG_000757650.1,EgG_000757650,,,
